ns,table,year,issue,path,rows,cols,sha256,pipeline_version,timestamp
ns-33-2017,table_2,2017,33,data\clean\table_2\2017\ns-33-2017.csv,9,16,74886d6cddb5a385a8e6245c94faff20d7983e411a5a51e0c418f5a12d46e745,s3.0.0,2025-10-06 13:24:02
ns-37-2017,table_2,2017,37,data\clean\table_2\2017\ns-37-2017.csv,9,16,351bb8d1b4d4050c48f60fa5d2df2eab9aba6c4af02e6ba0deeae812267c9ad2,s3.0.0,2025-10-06 13:24:03
ns-41-2017,table_2,2017,41,data\clean\table_2\2017\ns-41-2017.csv,9,16,4693e823ede69b707371c10d9e97c1f6ec12c7fc35633bd2fda47feeeba311eb,s3.0.0,2025-10-06 13:24:03
ns-46-2017,table_2,2017,46,data\clean\table_2\2017\ns-46-2017.csv,9,17,472462086e92d2de75cd778b570fc982da1bc4dd67d8d3a281940f14ad1f930c,s3.0.0,2025-10-06 13:24:03
ns-49-2017,table_2,2017,49,data\clean\table_2\2017\ns-49-2017.csv,9,17,67556f607dcb563eba897db937eced92008b65d2a42719f81a15369e53a56c83,s3.0.0,2025-10-06 13:24:03
ns-03-2018,table_2,2018,03,data\clean\table_2\2018\ns-03-2018.csv,9,17,7b91f559f176ba3b7a3203ba57b7ead5db70afd71c151b57c418b40f05646dd7,s3.0.0,2025-10-06 13:24:04
ns-07-2018,table_2,2018,07,data\clean\table_2\2018\ns-07-2018.csv,9,14,5e19042478dd433b1115ae74b5315852deee263b3563bc249b696671f86a3cc5,s3.0.0,2025-10-06 13:24:04
ns-11-2018,table_2,2018,11,data\clean\table_2\2018\ns-11-2018.csv,9,14,68fe1e016460c01be950e24ff5829335d2d1e2e28e2e21947ffa0bb4ba360e7e,s3.0.0,2025-10-06 13:24:04
ns-15-2018,table_2,2018,15,data\clean\table_2\2018\ns-15-2018.csv,9,14,2f065c412f992eac340c1e8baab4d0d174ae183ad72ffa7da9e5fb7ec1acad3b,s3.0.0,2025-10-06 13:24:04
ns-20-2018,table_2,2018,20,data\clean\table_2\2018\ns-20-2018.csv,9,15,c084a75f5f849746e5e0d100650deed3024b1f08fb32cd45df3945bec3e68142,s3.0.0,2025-10-06 13:24:05
ns-24-2018,table_2,2018,24,data\clean\table_2\2018\ns-24-2018.csv,9,15,ce10b1f9a14b39235b949da01e4c74bd24abef67ed3e29bfa0e2c4afc7b27db9,s3.0.0,2025-10-06 13:24:05
ns-28-2018,table_2,2018,28,data\clean\table_2\2018\ns-28-2018.csv,9,15,edd5ac226d1ba2e9f29bdb02c450dfe1ec1360ae05a6ddabb449688dbef41154,s3.0.0,2025-10-06 13:24:05
ns-33-2018,table_2,2018,33,data\clean\table_2\2018\ns-33-2018.csv,9,16,ada48fd6563c1dbb9d5aec62152f8a2edc96015cda97aa0f14a34d0a7d538703,s3.0.0,2025-10-06 13:24:06
ns-37-2018,table_2,2018,37,data\clean\table_2\2018\ns-37-2018.csv,9,16,40b57a12c6886f9c95d23f8996ade2f5ab9e22780f7ff60c991fa0eea7711692,s3.0.0,2025-10-06 13:24:06
ns-42-2018,table_2,2018,42,data\clean\table_2\2018\ns-42-2018.csv,9,16,b8c508a5ba95808134c2e965f45f13e11e94655d2c9b0b502fcb2d1bd89b4fc8,s3.0.0,2025-10-06 13:24:06
ns-46-2018,table_2,2018,46,data\clean\table_2\2018\ns-46-2018.csv,9,17,a6847073e15662b19da05f1c3cde348e3c199e4203cc91bd4807e6db4a383955,s3.0.0,2025-10-06 13:24:07
ns-49-2018,table_2,2018,49,data\clean\table_2\2018\ns-49-2018.csv,9,17,9e6974daf82a99c5b086709b1d1ace8639784e212b87341a4d69c2652ee94ccb,s3.0.0,2025-10-06 13:24:07
ns-04-2019,table_2,2019,04,data\clean\table_2\2019\ns-04-2019.csv,11,12,7ebfa72b738e691ef9da0a2a191f9b9076e3d6e6817e9fbcfe122581f750fce0,s3.0.0,2025-10-06 13:24:07
ns-07-2019,table_2,2019,07,data\clean\table_2\2019\ns-07-2019.csv,11,14,503fba026a18b8ef729238bf1f0237c029fa0cb30e49445b36e68ef1054d4508,s3.0.0,2025-10-06 13:24:08
ns-10-2019,table_2,2019,10,data\clean\table_2\2019\ns-10-2019.csv,11,14,cc4fc5f2442c063d74e4684ac4c040bafff4661a8492d1c53ee4231cceb3b7f7,s3.0.0,2025-10-06 13:24:08
ns-13-2019,table_2,2019,13,data\clean\table_2\2019\ns-13-2019.csv,11,14,900e79ce0fc71a9e11ba5e36098398154ed1c7e0575b997a954d536b2f9b3d51,s3.0.0,2025-10-06 13:24:08
ns-17-2019,table_2,2019,17,data\clean\table_2\2019\ns-17-2019.csv,11,15,e85dba171be26a02ba5d5d39a5f7fe94f142c17d99b60a528afa003f2e24f4d5,s3.0.0,2025-10-06 13:24:09
ns-20-2019,table_2,2019,20,data\clean\table_2\2019\ns-20-2019.csv,11,15,7528c833cae5be2ef96e102167c64e38f29caff8fe6c63cefed73fa3b5ab344f,s3.0.0,2025-10-06 13:24:09
ns-22-2019,table_2,2019,22,data\clean\table_2\2019\ns-22-2019.csv,11,15,83fed7173dd080c7e46edc58d6a35902262b7427092b722bca36e0394183245a,s3.0.0,2025-10-06 13:24:09
ns-26-2019,table_2,2019,26,data\clean\table_2\2019\ns-26-2019.csv,11,20,8bf2547f2092d5360f0e7f401a716a768a36329d560ca5dc008981f293f54c29,s3.0.0,2025-10-06 13:24:10
ns-29-2019,table_2,2019,29,data\clean\table_2\2019\ns-29-2019.csv,11,16,4889cc370fbbf78a04cca8b2c9323c5f053e8f0a214c2e368fc12ec9c7c7d7d8,s3.0.0,2025-10-06 13:24:10
ns-33-2019,table_2,2019,33,data\clean\table_2\2019\ns-33-2019.csv,11,16,481b4c08de04cdec5e318b2f13a7078387381a922dd74c173bfa703749fe1684,s3.0.0,2025-10-06 13:24:10
ns-36-2019,table_2,2019,36,data\clean\table_2\2019\ns-36-2019.csv,11,20,a1a10073ad44716c9c339b501510a32941838291a671adf983830d2ece6ef191,s3.0.0,2025-10-06 13:24:10
ns-39-2019,table_2,2019,39,data\clean\table_2\2019\ns-39-2019.csv,11,20,5f3340137dab4e6afa3cd566553cd23504d53f8f491ce2d9e51a7902b7df64be,s3.0.0,2025-10-06 13:24:11
ns-03-2020,table_2,2020,03,data\clean\table_2\2020\ns-03-2020.csv,11,20,db7a05800d53904567766f6b24dc40806b33965cd7284b065d20cfe65edeba19,s3.0.0,2025-10-06 13:24:11
ns-07-2020,table_2,2020,07,data\clean\table_2\2020\ns-07-2020.csv,11,15,b9897400125491ea15d20f965a8fca94e524ce2101bab8f0a3d3ae5d15d99651,s3.0.0,2025-10-06 13:24:11
ns-11-2020,table_2,2020,11,data\clean\table_2\2020\ns-11-2020.csv,11,15,95677f690255821758ffffb5eefd45c72d289b10165894b9c5e9b3a2bdad5bbd,s3.0.0,2025-10-06 13:24:12
ns-16-2020,table_2,2020,16,data\clean\table_2\2020\ns-16-2020.csv,11,15,2593f229086f5d9d0b4fe50e3c4e7027373fd52023c4569cb6dc7ad0a79b3ea0,s3.0.0,2025-10-06 13:24:12
ns-20-2020,table_2,2020,20,data\clean\table_2\2020\ns-20-2020.csv,11,20,69d5a27e48fb4b8683d053455e1c01e12a4b2f3cc0a4b268a968361500484584,s3.0.0,2025-10-06 13:24:12
ns-24-2020,table_2,2020,24,data\clean\table_2\2020\ns-24-2020.csv,11,20,3a58233573ba4e8e17a63fbd77bda058ccc39787feae047b43cf35d437aedc86,s3.0.0,2025-10-06 13:24:13
ns-28-2020,table_2,2020,28,data\clean\table_2\2020\ns-28-2020.csv,11,15,0492ba476bfaf043258be705f8f1db553b6a1da47a0f28e3fcaaf95511e0b10f,s3.0.0,2025-10-06 13:24:13
ns-32-2020,table_2,2020,32,data\clean\table_2\2020\ns-32-2020.csv,11,16,57159f285dc4847dc9ee104ba24e19ab4a6c70ea20e269cb96a877ca21d8c049,s3.0.0,2025-10-06 13:24:13
ns-36-2020,table_2,2020,36,data\clean\table_2\2020\ns-36-2020.csv,11,16,ae214203259ea23b0f76a03ec09dfd674f337644357585ea62bd6f1ff60bd613,s3.0.0,2025-10-06 13:24:14
ns-39-2020,table_2,2020,39,data\clean\table_2\2020\ns-39-2020.csv,11,16,67b9087cae5efb499767ef9f471c4487fda2e6c3201fd06096ced3983d088467,s3.0.0,2025-10-06 13:24:14
ns-43-2020,table_2,2020,43,data\clean\table_2\2020\ns-43-2020.csv,11,20,580152786eb0ca41d29169d33df5b863a24a6ed783c267ea92b1310ac71016c4,s3.0.0,2025-10-06 13:24:14
ns-47-2020,table_2,2020,47,data\clean\table_2\2020\ns-47-2020.csv,11,20,577dba03fb9246d86c75b72c3c950e15b38fd88351dc9c88e7024f66f201e8e7,s3.0.0,2025-10-06 13:24:15
